date,comnam,ticker,permno,permco,vol,shrout,mv_permco,ret1,F1ret,prc,year,month,logsize,L1ret_1,L1ret_6,L1ret_11
31jan2000,"PHILLIPS PETROLEUM CO","P",13928,21401,146334,253284,10352.98,-.1303191,-.0589602,40.875,2000,1,9.24503,-.0169935,-.052773,.2530504
29feb2000,"PHILLIPS PETROLEUM CO","P",13928,21401,164360,253284,9656.452,-.0589602,.2131148,38.125,2000,2,9.175382,-.1303191,-.197586,.078515
31mar2000,"PHILLIPS PETROLEUM CO","P",13928,21401,204468,253490,11723.91,.2131148,.033027,46.25,2000,3,9.369386,-.0589602,-.2402696,-.1689962
28apr2000,"PHILLIPS PETROLEUM CO","P",13928,21401,142776,253490,12024.93,.033027,.2068511,47.4375,2000,4,9.394737,.2131148,-.0358226,-.0653808
31may2000,"PHILLIPS PETROLEUM CO","P",13928,21401,257303,253856,14533.26,.2068511,-.1146288,57.25,2000,5,9.584195,.033027,.0366362,-.0678851
30jun2000,"PHILLIPS PETROLEUM CO","P",13928,21401,185984,253856,12867.33,-.1146288,.0091739,50.6875,2000,6,9.462446,.2068511,.2167225,.1724362
31jul2000,"PHILLIPS PETROLEUM CO","P",13928,21401,163878,253856,12899.06,.0091739,.2177122,50.8125,2000,7,9.46491,-.1146288,.0958738,.0111117
31aug2000,"PHILLIPS PETROLEUM CO","P",13928,21401,248858,253856,15707.34,.2177122,.0141414,61.875,2000,8,9.661883,.0091739,.2716472,.0266399
29sep2000,"PHILLIPS PETROLEUM CO","P",13928,21401,249451,253856,15929.46,.0141414,-.0105179,62.75,2000,9,9.675926,.2177122,.6455205,.3078512
31oct2000,"PHILLIPS PETROLEUM CO","P",13928,21401,189670,253856,15675.61,-.0105179,-.0850202,61.75,2000,10,9.659862,.0141414,.3756246,.3804306
30nov2000,"PHILLIPS PETROLEUM CO","P",13928,21401,175745,255277,14423.15,-.0850202,.0066372,56.5,2000,11,9.57659,-.0105179,.3176382,.3284158
29dec2000,"PHILLIPS PETROLEUM CO","P",13928,21401,257897,255277,14518.88,.0066372,.0308572,56.875,2000,12,9.583205,-.0850202,-.0010265,.2364857
31jan2001,"PHILLIPS PETROLEUM CO","P",13928,21401,211668,255277,14966.89,.0308572,-.0849394,58.63000107,2001,1,9.613596,.0066372,.1357991,.431206
28feb2001,"PHILLIPS PETROLEUM CO","P",13928,21401,657119,255277,13608.82,-.0849394,.0326392,53.31000137,2001,2,9.518474,.0308572,.1602031,.5678073
30mar2001,"PHILLIPS PETROLEUM CO","P",13928,21401,441902,255298,14054.15,.0326392,.0888283,55.04999924,2001,3,9.550673,-.0849394,-.1281551,.1826075
30apr2001,"PHILLIPS PETROLEUM CO","P",13928,21401,487027,255298,15215.76,.0888283,.0862416,59.59999847,2001,4,9.630087,.0326392,-.1122528,.1821636
31may2001,"PHILLIPS PETROLEUM CO","P",13928,21401,511038,255745,16556.93,.0862416,-.1195551,64.73999786,2001,5,9.714561,.0888283,-.0231209,.066555
29jun2001,"PHILLIPS PETROLEUM CO","P",13928,21401,371003,255745,14577.46,-.1195551,.0078947,57,2001,6,9.587232,.0862416,.159727,.3085319
31jul2001,"PHILLIPS PETROLEUM CO","P",13928,21401,370814,256198,14626.34,.0078947,.0071816,57.09000015,2001,7,9.59058,-.1195551,.0143433,.1416172
31aug2001,"PHILLIPS PETROLEUM CO","P",13928,21401,343046,256198,14731.38,.0071816,-.0619131,57.5,2001,8,9.597735,.0078947,-.0082513,-.0550887
28sep2001,"PHILLIPS PETROLEUM CO","P",13928,21401,299822,380540,20526.33,-.0619131,.0153875,53.93999863,2001,9,9.929463,.0071816,.0915902,-.0615734
