,doc_id,datetime_1,datetime_1_type,vol_1,vol_1_type,price_1,price_1_type,additional,instrument_type,product_type,price_2,price_2_type,price_3,price_3_type,price_4,price_4_type,price_5,price_5_type
6,CLR20130228,Swaps - ICE Brent,"crude oil ice brent,,period and type of contractjanuary 2013 - december 2013",6570000,",bbls,bbls",$100.66,"swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice",january 2014 - december 2014,swap,oil,,,,,,,,
7,CLR20130228,Collars - ICE Brent,"crude oil ice brent,,period and type of contractjanuary 2013 - december 2013",2190000,",bbls,bbls",,"swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice",january 2014 - december 2014,collar,oil,,,,,,,,
9,CLR20130228,Swaps - ICE Brent,"crude oil ice brent,,period and type of contractjanuary 2013 - december 2013",1277500,",bbls,bbls",$98.48,"swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice",january 2015 - december 2015,swap,oil,,,,,,,,
4,CLR20130228,swaps - ice brent,"crude oil ice brent,,period and type of contractjanuary 2013 - december 2013",3467500,",bbls,bbls",,"collars,floors,range",,swap,oil,,"collars,floors,weightedaverageprice",,"collars,ceilings,range",,"collars,ceilings,weightedaverageprice",,
6,CLR20130228,Swaps - ICE Brent,"crude oil ice brent,,period and type of contractjanuary 2013 - december 2013",6570000,",bbls,bbls",,"collars,floors,range",january 2014 - december 2014,swap,oil,,"collars,floors,weightedaverageprice",,"collars,ceilings,range",,"collars,ceilings,weightedaverageprice",,
7,CLR20130228,Collars - ICE Brent,"crude oil ice brent,,period and type of contractjanuary 2013 - december 2013",2190000,",bbls,bbls",$90.00|$95.00,"collars,floors,range",january 2014 - december 2014,collar,oil,$90.83,"collars,floors,weightedaverageprice",$104.70|$108.85,"collars,ceilings,range",$107.13,"collars,ceilings,weightedaverageprice",,
9,CLR20130228,Swaps - ICE Brent,"crude oil ice brent,,period and type of contractjanuary 2013 - december 2013",1277500,",bbls,bbls",,"collars,floors,range",january 2015 - december 2015,swap,oil,,"collars,floors,weightedaverageprice",,"collars,ceilings,range",,"collars,ceilings,weightedaverageprice",,
5,CLR20130228,swaps - henry hub,"natural gas nymex henry hub,,,period and type of contractjanuary 2013 - december 2013",18250000,"mmbtus,mmbtus,mmbtus,mmbtus",$3.76,"swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice",,swap,natural gas,,,,,,,,
3,CLR20140227,swaps - ice brent,",period and type of contractjanuary 2015 - december 2015",6205000,",bbls",$100.27,",weightedaverage price",,swap,oil,,,,,,,,
3,CLR20140227,swaps - henry hub,",period and type of contractjanuary 2014 - december 2014",40495000,",mmbtus",$4.26,",weightedaverage price",,swap,natural gas,,,,,,,,
5,CLR20140227,Swaps - Henry Hub,",period and type of contractjanuary 2014 - december 2014",22700000,",mmbtus",$4.27,",weightedaverage price",january 2015 - december 2015,swap,natural gas,,,,,,,,
7,CLR20140227,Swaps - Henry Hub,",period and type of contractjanuary 2014 - december 2014",4550000,",mmbtus",$4.27,",weightedaverage price",january 2016 - december 2016,swap,natural gas,,,,,,,,
4,CLR20140227,swaps - wti,",crude oil nymex wti,period and type of contractjanuary 2014 - december 2014",10851250,",,bbls",$96.50,",swaps weighted average price,swaps weighted average price",,swap,oil,,,,,,,,
5,CLR20140227,swaps - ice brent,",,crude oil ice brent,period and type of contractjanuary 2014 - december 2014",17028000,",,bbls,bbls",$103.17,",swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice",,swap,oil,,,,,,,,
6,CLR20140227,Collars - ICE Brent,",,crude oil ice brent,period and type of contractjanuary 2014 - december 2014",2190000,",,bbls,bbls",,",swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice",,collar,oil,,,,,,,,
8,CLR20140227,Swaps - ICE Brent,",,crude oil ice brent,period and type of contractjanuary 2014 - december 2014",2737500,",,bbls,bbls",$99.15,",swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice",january 2015 - december 2015,swap,oil,,,,,,,,
9,CLR20140227,Collars - ICE Brent,",,crude oil ice brent,period and type of contractjanuary 2014 - december 2014",730000,",,bbls,bbls",,",swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice",january 2015 - december 2015,collar,oil,,,,,,,,
5,CLR20140227,swaps - ice brent,",,crude oil ice brent,period and type of contractjanuary 2014 - december 2014",17028000,",,bbls,bbls",,",collars,floors,range",,swap,oil,,",collars,floors,weightedaverageprice",,",collars,ceilings,range",,",collars,ceilings,weightedaverageprice",,
6,CLR20140227,Collars - ICE Brent,",,crude oil ice brent,period and type of contractjanuary 2014 - december 2014",2190000,",,bbls,bbls",$90.00|$95.00,",collars,floors,range",,collar,oil,$90.83,",collars,floors,weightedaverageprice",$104.70|$108.85,",collars,ceilings,range",$107.13,",collars,ceilings,weightedaverageprice",,
8,CLR20140227,Swaps - ICE Brent,",,crude oil ice brent,period and type of contractjanuary 2014 - december 2014",2737500,",,bbls,bbls",,",collars,floors,range",january 2015 - december 2015,swap,oil,,",collars,floors,weightedaverageprice",,",collars,ceilings,range",,",collars,ceilings,weightedaverageprice",,
9,CLR20140227,Collars - ICE Brent,",,crude oil ice brent,period and type of contractjanuary 2014 - december 2014",730000,",,bbls,bbls",$95.00,",collars,floors,range",january 2015 - december 2015,collar,oil,$95.00,",collars,floors,weightedaverageprice",$107.40,",collars,ceilings,range",$107.40,",collars,ceilings,weightedaverageprice",,
5,CLR20140227,swaps - henry hub,",natural gas nymex henry hub,,period and type of contractjanuary 2014 - december 2014",64250000,",mmbtus,mmbtus,mmbtus",$4.19,",swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice",,swap,natural gas,,,,,,,,
7,CLR20140227,Swaps - Henry Hub,",natural gas nymex henry hub,,period and type of contractjanuary 2014 - december 2014",1800000,",mmbtus,mmbtus,mmbtus",$4.27,",swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice",january 2015 - march 2015,swap,natural gas,,,,,,,,
5,CLR20150224,"written call options - wti ,",",crude oil - nymex wti,,period and type of contractjuly 2015 - december 2015",2208000,",,,bbls",$95.85|$103.75,",ceilings,,range",,call,oil,$98.36,",ceilings,weighted averageprice,weighted averageprice",,,,,,
5,CLR20150224,"written call options - ice brent ,",",crude oil - ice brent,,period and type of contractjuly 2015 - december 2015",368000,",,,bbls",$107.40,",ceilings,,range",,call,oil,$107.40,",ceilings,weighted averageprice,weighted averageprice",,,,,,
7,CLR20150224,"Written call options - ICE Brent ,",",crude oil - ice brent,,period and type of contractjuly 2015 - december 2015",1464000,",,,bbls",$107.70,",ceilings,,range",january 2016 - december 2016,call,oil,$107.70,",ceilings,weighted averageprice,weighted averageprice",,,,,,
